Dataset Name,Algorithm Name,Cross Validation[1-10],AUC
balance-scale,Provably Robust Boosting,3,0.7450980392156863
balance-scale,XBART,3,0.9675456389452334
balance-scale,Adaboost,4,0.8198782961460447
balance-scale,LightGBM,4,0.9088573360378636
balance-scale,Provably Robust Boosting,4,0.7338066260987154
balance-scale,XBART,4,0.9452332657200812
balance-scale,Adaboost,5,0.8275019252600121
balance-scale,LightGBM,5,0.9333920886178814
balance-scale,Provably Robust Boosting,5,0.7084049808121016
balance-scale,XBART,5,0.9314928402202876
balance-scale,Adaboost,6,0.7886221966650601
balance-scale,LightGBM,6,0.9262718385489817
balance-scale,Provably Robust Boosting,6,0.7495485710095511
balance-scale,XBART,6,0.9351959482577612
balance-scale,Adaboost,7,0.7291389701126011
balance-scale,LightGBM,7,0.9556765553936474
balance-scale,Provably Robust Boosting,7,0.7557007376453303
balance-scale,XBART,7,0.9357312159863672
balance-scale,Adaboost,8,0.7716750501553533
balance-scale,LightGBM,8,0.9306733896330353
balance-scale,Provably Robust Boosting,8,0.7219826180485943
balance-scale,XBART,8,0.9787163988402378
balance-scale,Adaboost,9,0.9053465691396726
balance-scale,LightGBM,9,0.9606408916753744
balance-scale,Provably Robust Boosting,9,0.7744905956112853
balance-scale,XBART,9,0.9393068617206548
bank,Adaboost,0,0.8707311320754717
bank,LightGBM,0,0.8938207547169812
bank,Provably Robust Boosting,0,0.7863207547169809
bank,XBART,0,0.8565566037735849
bank,Adaboost,1,0.8435817307692307
bank,LightGBM,1,0.8837019230769231
bank,Provably Robust Boosting,1,0.7600721153846154
bank,XBART,1,0.37004807692307695
bank,Adaboost,2,0.8904807692307692
bank,LightGBM,2,0.888485576923077
bank,Provably Robust Boosting,2,0.7834375
bank,XBART,2,0.11033653846153844
bank,Adaboost,3,0.9157211538461538
bank,LightGBM,3,0.9216346153846154
bank,Provably Robust Boosting,3,0.8074759615384615
bank,XBART,3,0.9300961538461536
bank,Adaboost,4,0.902596153846154
bank,LightGBM,4,0.8983173076923077
bank,Provably Robust Boosting,4,0.8272355769230768
bank,XBART,4,0.9104326923076924
bank,Adaboost,5,0.8817788461538462
bank,LightGBM,5,0.8932692307692307
bank,Provably Robust Boosting,5,0.8221153846153846
bank,XBART,5,0.9135096153846154
bank,Adaboost,6,0.9069471153846156
bank,LightGBM,6,0.9218269230769232
bank,Provably Robust Boosting,6,0.8678846153846154
bank,XBART,6,0.3414663461538461
bank,Adaboost,7,0.8818509615384615
bank,LightGBM,7,0.8864903846153847
bank,Provably Robust Boosting,7,0.7577403846153846
bank,XBART,7,0.3963221153846154
bank,Adaboost,8,0.8518028846153846
bank,LightGBM,8,0.8728365384615384
